Section,Carrier,Coverage_days_or_TWh,Volume,AnnCost_USDm,Cost_pct_GDP,BE_GDP_pct,BE_C_pct,MC_per_day_USDm,TWh_yr,ModelED,AvoidedGDP_20pct,Status_20pct,AvoidedGDP_50pct,Status_50pct
Oil & Gas,"Crude oil — 1 MTA",30.4,"1,000 KT",30.41,0.007073,0.1768,0.2639,0.9999,,0.3000,0.1055,not justified,0.1124,not justified
Oil & Gas,"Crude oil — 2 MTA",60.8,"2,000 KT",60.83,0.014146,0.3536,0.5278,0.9999,,0.3000,0.1264,not justified,0.2228,not justified
Oil & Gas,"Crude oil — 3 MTA",91.2,"3,000 KT",91.24,0.021219,0.5305,0.7917,0.9999,,0.3000,0.1264,not justified,0.3312,not justified
Oil & Gas,"Ref. products — 500K m³",7.8,"500,000 m3",27.43,0.006379,0.1595,0.2380,3.5362,,0.3000,0.0271,not justified,0.0289,not justified
Oil & Gas,"Ref. products — 1,000K m³",15.5,"1,000,000 m3",54.86,0.012757,0.3189,0.4760,3.5362,,0.3000,0.0540,not justified,0.0576,not justified
Oil & Gas,"Ref. products — 1,500K m³",23.3,"1,500,000 m3",82.28,0.019136,0.4784,0.7140,3.5362,,0.3000,0.0809,not justified,0.0862,not justified
Oil & Gas,"LNG — 3 MTA",109.5,"3,000 KT",171.20,0.039813,0.9953,1.4856,1.5634,,0.0600,0.0247,not justified,0.0623,not justified
Oil & Gas,"LNG — 6 MTA",219.0,"6,000 KT",328.39,0.076370,1.9093,2.8496,1.4995,,0.0600,0.0247,not justified,0.0623,not justified
Oil & Gas,"LPG underground — 240 KT",43.8,"240 KT",50.88,0.011834,0.2958,0.4416,1.1617,,0.0100,0.0041,not justified,0.0049,not justified
Coal,"Coal — Domestic",30.0,"6.16 Mt",60.35,0.014036,0.3509,0.5237,2.0118,14.984,0.4500,0.1586,not justified,0.1755,not justified
Coal,"Coal — Imported",30.0,"6.16 Mt",113.12,0.026307,0.6577,0.9816,3.7706,16.346,0.4500,0.1586,not justified,0.1755,not justified
Coal,"Coal — Domestic",60.0,"12.33 Mt",120.71,0.028071,0.7018,1.0474,2.0118,29.967,0.4500,0.1925,not justified,0.3458,not justified
Coal,"Coal — Imported",60.0,"12.33 Mt",226.24,0.052614,1.3153,1.9632,3.7706,32.691,0.4500,0.1925,not justified,0.3458,not justified
Coal,"Coal — Domestic",90.0,"18.49 Mt",181.06,0.042107,1.0527,1.5711,2.0118,44.951,0.4500,0.1925,not justified,0.5116,not justified
Coal,"Coal — Imported",90.0,"18.49 Mt",339.36,0.078920,1.9730,2.9448,3.7706,49.037,0.4500,0.1925,not justified,0.5116,not justified
Grid Storage,"PSHP 1,200 MW / 8 h (Bac Ai Phase 1)",1.9,"1,200 MW",189.57,0.044086,1.1021,1.6450,0.7583,1.920,,,grid stability (sub-annual),,grid stability (sub-annual)
Grid Storage,"BESS 4 h, 1,000 MWh (distributed)",0.3,"1,000 MWh",29.08,0.006764,0.1691,0.2524,0.0797,0.289,,,grid stability (sub-annual),,grid stability (sub-annual)
